iter	Passed	Remaining
0	66	33253
1	83	20741
2	98	16313
3	113	14019
4	124	12366
5	136	11208
6	147	10374
7	158	9762
8	175	9557
9	188	9230
10	200	8905
11	212	8653
12	224	8428
13	237	8254
14	249	8068
15	261	7897
16	272	7756
17	284	7621
18	296	7496
19	307	7385
20	319	7287
21	330	7187
22	338	7014
23	349	6928
24	361	6860
25	372	6790
26	384	6740
27	396	6687
28	409	6643
29	420	6586
30	433	6562
31	445	6516
32	458	6482
33	469	6438
34	481	6394
35	492	6350
36	504	6318
37	516	6276
38	527	6238
39	539	6199
40	552	6180
41	563	6145
42	575	6115
43	589	6113
44	602	6087
45	613	6059
46	619	5968
47	630	5941
48	643	5920
49	655	5897
50	667	5872
51	678	5847
52	690	5825
53	701	5797
54	713	5775
55	726	5762
56	739	5745
57	750	5720
58	762	5696
59	773	5673
60	785	5652
61	796	5629
62	808	5606
63	819	5583
64	831	5564
65	843	5543
66	854	5523
67	866	5503
68	879	5491
69	890	5471
70	896	5413
71	908	5402
72	920	5385
73	931	5364
74	943	5344
75	954	5323
76	966	5308
77	968	5241
78	981	5229
79	992	5213
80	1004	5197
81	1016	5179
82	1027	5162
83	1038	5144
84	1050	5128
85	1061	5110
86	1072	5092
87	1084	5075
88	1095	5060
89	1107	5043
90	1118	5026
91	1129	5009
92	1141	4995
93	1152	4978
94	1163	4962
95	1175	4945
96	1186	4931
97	1198	4914
98	1209	4898
99	1220	4882
100	1232	4867
101	1243	4853
102	1255	4839
103	1266	4823
104	1278	4810
105	1290	4795
106	1301	4779
107	1313	4766
108	1324	4752
109	1336	4737
110	1348	4725
111	1359	4711
112	1371	4698
113	1379	4669
114	1390	4654
115	1401	4639
116	1413	4627
117	1424	4612
118	1436	4598
119	1447	4584
120	1459	4571
121	1470	4556
122	1482	4542
123	1493	4528
124	1505	4515
125	1516	4501
126	1527	4486
127	1538	4472
128	1550	4459
129	1586	4514
130	1597	4499
131	1609	4486
132	1621	4473
133	1632	4460
134	1644	4446
135	1656	4432
136	1667	4419
137	1681	4409
138	1692	4395
139	1704	4382
140	1715	4369
141	1727	4354
142	1738	4340
143	1749	4325
144	1761	4313
145	1774	4301
146	1785	4287
147	1796	4273
148	1808	4260
149	1819	4246
150	1831	4232
151	1842	4218
152	1854	4205
153	1865	4192
154	1877	4178
155	1889	4166
156	1901	4153
157	1912	4139
158	1923	4126
159	1935	4112
160	1947	4100
161	1958	4086
162	1970	4073
163	1981	4059
164	1993	4047
165	2004	4033
166	2015	4019
167	2027	4006
168	2039	3995
169	2051	3981
170	2062	3968
171	2075	3957
172	2087	3945
173	2098	3931
174	2109	3918
175	2120	3904
176	2132	3891
177	2144	3878
178	2155	3865
179	2166	3851
180	2178	3840
181	2190	3826
182	2201	3813
183	2212	3800
184	2224	3787
185	2235	3774
186	2247	3761
187	2259	3749
188	2271	3737
189	2282	3724
190	2294	3711
191	2305	3698
192	2317	3686
193	2328	3672
194	2340	3660
195	2351	3646
196	2363	3634
197	2376	3624
198	2387	3611
199	2398	3598
200	2410	3585
201	2421	3572
202	2433	3559
203	2444	3546
204	2456	3534
205	2467	3521
206	2480	3510
207	2491	3497
208	2503	3485
209	2514	3472
210	2525	3459
211	2537	3446
212	2548	3434
213	2560	3421
214	2571	3408
215	2582	3395
216	2594	3383
217	2605	3370
218	2616	3357
219	2628	3344
220	2639	3332
221	2651	3319
222	2662	3307
223	2674	3295
224	2686	3284
225	2698	3271
226	2709	3258
227	2720	3246
228	2732	3234
229	2744	3221
230	2755	3209
231	2767	3196
232	2779	3184
233	2790	3172
234	2801	3159
235	2813	3147
236	2825	3135
237	2836	3122
238	2847	3110
239	2859	3097
240	2871	3085
241	2882	3073
242	2894	3060
243	2905	3048
244	2917	3036
245	2928	3023
246	2939	3011
247	2951	2998
248	2962	2986
249	2974	2974
250	2985	2961
251	2996	2949
252	3008	2937
253	3019	2924
254	3030	2912
255	3042	2899
256	3054	2887
257	3065	2875
258	3076	2863
259	3088	2850
260	3100	2839
261	3111	2826
262	3123	2814
263	3134	2802
264	3146	2790
