mal_id,title,type,status,score,start_date,rank,popularity,members,favorites,genres,themes,episodes,season,year,season_length
58985,0-saiji Start Dash Monogatari,TV,Finished Airing,5.43,2024-07-07 00:00:00+00:00,12703.0,6424,12263,24,"['Adventure', 'Fantasy']","['Isekai', 'Reincarnation']",12.0,Summer,2024,Short
60425,0-saiji Start Dash Monogatari Season 2,TV,Finished Airing,5.63,2025-01-05 00:00:00+00:00,12053.0,9660,4376,10,"['Adventure', 'Fantasy']","['Isekai', 'Reincarnation']",12.0,Winter,2025,Short
41380,100-man no Inochi no Ue ni Ore wa Tatteiru,TV,Finished Airing,6.52,2020-10-02 00:00:00+00:00,7107.0,826,324016,701,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Isekai'],12.0,Fall,2020,Short
44881,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,TV,Finished Airing,6.79,2021-07-10 00:00:00+00:00,5509.0,1453,182088,640,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Isekai'],12.0,Summer,2021,Short
306,Abenobashi Mahou☆Shoutengai,TV,Finished Airing,7.21,2002-04-04 00:00:00+00:00,3376.0,2364,96358,380,"['Award Winning', 'Comedy', 'Fantasy', 'Ecchi']","['Isekai', 'Parody']",13.0,Spring,2002,Short
54837,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,TV,Finished Airing,7.13,2024-01-09 00:00:00+00:00,3872.0,1385,192376,915,['Fantasy'],"['Isekai', 'School', 'Villainess']",12.0,Winter,2024,Short
49979,Akuyaku Reijou nanode Last Boss wo Kattemimashita,TV,Finished Airing,7.2,2022-10-01 00:00:00+00:00,3448.0,1289,207649,1149,"['Comedy', 'Fantasy', 'Romance']","['Isekai', 'Villainess']",12.0,Fall,2022,Short
57719,Akuyaku Reijou Tensei Ojisan,TV,Finished Airing,7.37,2025-01-10 00:00:00+00:00,2577.0,2472,89590,292,"['Comedy', 'Fantasy']","['Isekai', 'School', 'Villainess']",12.0,Winter,2025,Short
61026,Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga,TV,Not yet aired,6.59,2025-10-07 00:00:00+00:00,6936.0,4460,30310,108,"['Action', 'Adventure', 'Fantasy']",['Isekai'],12.0,Fall,2025,Short
16518,Arata Kangatari,TV,Finished Airing,6.42,2013-04-09 00:00:00+00:00,7769.0,2748,75464,60,"['Adventure', 'Fantasy']",['Isekai'],12.0,Spring,2013,Short
36882,Arifureta Shokugyou de Sekai Saikyou,TV,Finished Airing,6.72,2019-07-08 00:00:00+00:00,5926.0,275,789347,6849,"['Action', 'Adventure', 'Fantasy']","['Harem', 'Isekai']",13.0,Summer,2019,Short
40507,Arifureta Shokugyou de Sekai Saikyou 2nd Season,TV,Finished Airing,7.14,2022-01-13 00:00:00+00:00,3791.0,569,444187,4306,"['Action', 'Adventure', 'Fantasy']","['Harem', 'Isekai']",12.0,Winter,2022,Short
52995,Arifureta Shokugyou de Sekai Saikyou Season 3,TV,Finished Airing,7.02,2024-10-14 00:00:00+00:00,4406.0,1432,185330,1075,"['Action', 'Adventure', 'Fantasy']","['Harem', 'Isekai']",16.0,Fall,2024,Medium
59561,Around 40 Otoko no Isekai Tsuuhan,TV,Finished Airing,6.35,2025-01-09 00:00:00+00:00,8184.0,2541,85668,201,['Fantasy'],"['Harem', 'Isekai']",13.0,Winter,2025,Short
9736,Astarotte no Omocha!,TV,Finished Airing,6.46,2011-04-11 00:00:00+00:00,7485.0,1680,153027,250,"['Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'Isekai']",12.0,Spring,2011,Short
2786,Bakegyamon,TV,Finished Airing,6.62,2006-04-03 00:00:00+00:00,6560.0,9796,4208,16,"['Action', 'Adventure', 'Fantasy']","['Isekai', 'Strategy Game']",51.0,Spring,2006,Long
6901,Battle Spirits: Shounen Gekiha Dan,TV,Finished Airing,6.96,2009-09-13 00:00:00+00:00,4680.0,9474,4632,12,['Adventure'],"['Isekai', 'Military', 'Strategy Game']",50.0,Fall,2009,Long
50854,"Benriya Saitou-san, Isekai ni Iku",TV,Finished Airing,7.37,2023-01-08 00:00:00+00:00,2583.0,1266,211795,789,"['Adventure', 'Comedy', 'Fantasy']",['Isekai'],12.0,Winter,2023,Short
60316,Busamen Gachi Fighter,TV,Finished Airing,6.34,2025-07-06 00:00:00+00:00,8211.0,3992,38427,58,"['Action', 'Adventure', 'Fantasy']",['Isekai'],12.0,Summer,2025,Short
50583,Buta no Liver wa Kanetsu Shiro,TV,Finished Airing,6.29,2023-10-08 00:00:00+00:00,8571.0,3505,48403,100,"['Adventure', 'Fantasy']",['Isekai'],12.0,Fall,2023,Short
40960,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,TV,Finished Airing,6.45,2021-07-07 00:00:00+00:00,7586.0,1615,161441,623,"['Comedy', 'Fantasy']","['Isekai', 'Medical']",12.0,Summer,2021,Short
57888,"Chichi wa Eiyuu, Haha wa Seirei, Musume no Watashi wa Tenseisha.",TV,Not yet aired,6.64,2025-10-05 00:00:00+00:00,6589.0,5816,15754,39,['Fantasy'],"['Isekai', 'Reincarnation']",12.0,Fall,2025,Short
49613,Chiyu Mahou no Machigatta Tsukaikata,TV,Finished Airing,7.53,2024-01-06 00:00:00+00:00,1910.0,909,295418,1357,"['Action', 'Adventure', 'Fantasy']",['Isekai'],13.0,Winter,2024,Short
39523,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,TV,Finished Airing,6.36,2019-10-03 00:00:00+00:00,8116.0,911,295289,566,"['Action', 'Adventure', 'Fantasy']",['Isekai'],12.0,Fall,2019,Short
37823,Conception,TV,Finished Airing,4.57,2018-10-10 00:00:00+00:00,14072.0,1861,135541,181,"['Action', 'Comedy', 'Fantasy', 'Romance']","['Harem', 'Isekai', 'Parody']",12.0,Fall,2018,Short
34497,Death March kara Hajimaru Isekai Kyousoukyoku,TV,Finished Airing,6.43,2018-01-11 00:00:00+00:00,7697.0,444,545498,1884,"['Adventure', 'Fantasy']","['Harem', 'Isekai']",12.0,Winter,2018,Short
552,Digimon Adventure,TV,Finished Airing,7.78,1999-03-07 00:00:00+00:00,1122.0,614,418940,5661,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],54.0,Spring,1999,Long
1313,Digimon Adventure 02,TV,Finished Airing,7.24,2000-04-02 00:00:00+00:00,3223.0,1177,230193,796,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],50.0,Spring,2000,Long
41074,Digimon Adventure:,TV,Finished Airing,6.5,2020-04-05 00:00:00+00:00,7285.0,3117,60361,212,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],67.0,Spring,2020,Long
1132,Digimon Frontier,TV,Finished Airing,7.17,2002-04-07 00:00:00+00:00,3633.0,1603,164016,635,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",['Isekai'],50.0,Spring,2002,Long
874,Digimon Tamers,TV,Finished Airing,7.65,2001-04-01 00:00:00+00:00,1484.0,1288,207989,2028,"['Adventure', 'Comedy', 'Fantasy']",['Isekai'],51.0,Spring,2001,Long
8624,Digimon Xros Wars,TV,Finished Airing,6.69,2010-07-06 00:00:00+00:00,6116.0,3334,53488,125,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],30.0,Summer,2010,Long
10444,Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,TV,Finished Airing,7.1,2011-04-03 00:00:00+00:00,4043.0,4472,30123,54,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],24.0,Spring,2011,Medium
11385,Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,TV,Finished Airing,6.42,2011-10-02 00:00:00+00:00,7780.0,4551,28866,33,"['Action', 'Adventure', 'Comedy', 'Fantasy']",['Isekai'],25.0,Fall,2011,Medium
10155,Dog Days,TV,Finished Airing,6.83,2011-04-02 00:00:00+00:00,5346.0,1379,193644,566,"['Action', 'Adventure', 'Fantasy']",['Isekai'],13.0,Spring,2011,Short
11783,Dog Days',TV,Finished Airing,6.97,2012-07-07 00:00:00+00:00,4626.0,2183,108762,149,"['Action', 'Adventure', 'Fantasy']",['Isekai'],13.0,Summer,2012,Short
16385,Dog Days'',TV,Finished Airing,6.84,2015-01-11 00:00:00+00:00,5281.0,2696,77880,83,"['Action', 'Adventure', 'Fantasy']",['Isekai'],12.0,Winter,2015,Short
22733,Dragon Collection,TV,Finished Airing,6.14,2014-04-07 00:00:00+00:00,9438.0,8569,6057,7,['Fantasy'],['Isekai'],51.0,Spring,2014,Long
296,Dragon Drive,TV,Finished Airing,6.69,2002-07-04 00:00:00+00:00,6118.0,4881,24645,56,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",['Isekai'],38.0,Summer,2002,Long
31339,Drifters,TV,Finished Airing,7.88,2016-10-07 00:00:00+00:00,906.0,399,604909,4223,"['Action', 'Adventure', 'Comedy', 'Fantasy']","['Adult Cast', 'Gore', 'Historical', 'Isekai', 'Military', 'Samurai']",12.0,Fall,2016,Short
992,Dual! Parallel Lun-Lun Monogatari,TV,Finished Airing,7.05,1999-04-08 00:00:00+00:00,4260.0,5280,20360,69,"['Action', 'Comedy', 'Sci-Fi']","['Harem', 'Isekai', 'Mecha']",13.0,Spring,1999,Short
1045,Elf wo Karu Mono-tachi,TV,Finished Airing,6.96,1996-10-04 00:00:00+00:00,4688.0,4510,29579,54,"['Adventure', 'Comedy', 'Fantasy', 'Ecchi']",['Isekai'],12.0,Fall,1996,Short
1046,Elf wo Karu Mono-tachi II,TV,Finished Airing,6.97,1997-10-02 00:00:00+00:00,4628.0,5939,14924,13,"['Adventure', 'Comedy', 'Fantasy']",['Isekai'],12.0,Fall,1997,Short
32608,Endride,TV,Finished Airing,5.58,2016-04-03 00:00:00+00:00,12241.0,2698,77585,70,"['Action', 'Adventure', 'Fantasy']",['Isekai'],24.0,Spring,2016,Medium
48997,Fantasy Bishoujo Juniku Ojisan to,TV,Finished Airing,7.12,2022-01-12 00:00:00+00:00,3893.0,1335,199785,856,"['Adventure', 'Comedy', 'Fantasy']","['Isekai', 'Magical Sex Shift', 'Parody']",12.0,Winter,2022,Short
38084,Fate/Grand Order: Zettai Majuu Sensen Babylonia,TV,Finished Airing,7.94,2019-10-05 00:00:00+00:00,789.0,890,304375,2627,"['Action', 'Fantasy']",['Isekai'],21.0,Fall,2019,Medium
2572,Fushigi no Kuni no Alice,TV,Finished Airing,6.44,1983-10-10 00:00:00+00:00,7684.0,9993,3964,9,"['Adventure', 'Fantasy']","['Anthropomorphic', 'Isekai']",24.0,Fall,1983,Medium
123,Fushigi Yuugi,TV,Finished Airing,7.6,1995-04-06 00:00:00+00:00,1641.0,1959,126615,2146,"['Action', 'Adventure', 'Fantasy', 'Romance']","['Historical', 'Isekai', 'Martial Arts', 'Reverse Harem']",52.0,Spring,1995,Long
48760,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",TV,Finished Airing,7.14,2022-04-07 00:00:00+00:00,3806.0,742,356867,1818,"['Action', 'Adventure', 'Fantasy']",['Isekai'],12.0,Spring,2022,Short
28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV,Finished Airing,7.68,2015-07-04 00:00:00+00:00,1398.0,235,864048,6560,"['Action', 'Adventure', 'Fantasy']","['Isekai', 'Military']",12.0,Summer,2015,Short
